## Tue Apr 25 22:04:12 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cdfmdzp1 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cdfmdzp1 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_cdfmdzp1/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_000027050.1	500632.CLONEX_01829	1.03e-204	566.0	COG2367@1|root,COG2367@2|Bacteria,1TQFB@1239|Firmicutes,249R7@186801|Clostridia	186801|Clostridia	V	beta-lactamase	-	-	3.5.2.6	ko:K17836	ko00311,ko01130,ko01501,map00311,map01130,map01501	M00627,M00628	R06363	RC01499	ko00000,ko00001,ko00002,ko01000,ko01504	-	-	-	Beta-lactamase2
WP_020862657.1	272632.MSC_0374	1.83e-152	431.0	COG3275@1|root,COG3275@2|Bacteria,3WTI4@544448|Tenericutes	544448|Tenericutes	T	phosphorelay sensor kinase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862658.1	272632.MSC_0372	0.0	1278.0	COG0021@1|root,COG0021@2|Bacteria,3WSUQ@544448|Tenericutes	544448|Tenericutes	G	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate	tkt	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C,Transketolase_N
WP_020862659.1	272632.MSC_0371	5.74e-30	108.0	COG3763@1|root,COG3763@2|Bacteria,3WTV8@544448|Tenericutes	544448|Tenericutes	S	protein conserved in bacteria	-	-	-	ko:K09976	-	-	-	-	ko00000	-	-	-	UPF0154
WP_020862660.1	272632.MSC_0370	0.0	998.0	COG0553@1|root,COG0553@2|Bacteria,3WTY4@544448|Tenericutes	544448|Tenericutes	KL	SNF2 family N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	SNF2_N
WP_020862661.1	1179777.D500_0901	0.0	960.0	COG5279@1|root,COG5279@2|Bacteria,3WT03@544448|Tenericutes	544448|Tenericutes	D	Transglutaminase-like superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Transglut_core
WP_020862662.1	272632.MSC_0368	4.62e-176	492.0	COG2267@1|root,COG2267@2|Bacteria,3WSWK@544448|Tenericutes	544448|Tenericutes	I	Serine aminopeptidase, S33	-	-	3.1.1.3	ko:K01046	ko00561,ko01100,map00561,map01100	M00098	R02250,R02687	RC00020,RC00037,RC00041,RC00094	ko00000,ko00001,ko00002,ko01000	-	-	-	Hydrolase_4
WP_020862663.1	272632.MSC_0378	2.38e-153	443.0	COG2865@1|root,COG2865@2|Bacteria,3WTAH@544448|Tenericutes	544448|Tenericutes	K	transcriptional regulator containing an HTH domain and an	-	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AlbA_2,HATPase_c_4
WP_020862664.1	1179777.D500_0426	1.13e-190	548.0	2B5KS@1|root,31YFU@2|Bacteria,3WTFT@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862667.1	272632.MSC_0384	6.53e-171	478.0	2FC5J@1|root,3449D@2|Bacteria,3WTMU@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862668.1	272632.MSC_0386	3.42e-142	402.0	COG1386@1|root,COG1386@2|Bacteria,3WT47@544448|Tenericutes	544448|Tenericutes	D	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves	scpB	-	-	ko:K06024	-	-	-	-	ko00000,ko03036	-	-	-	SMC_ScpB
WP_020862669.1	880447.MSB_A0608	2.26e-166	466.0	COG1187@1|root,COG1187@2|Bacteria,3WT43@544448|Tenericutes	544448|Tenericutes	J	Belongs to the pseudouridine synthase RsuA family	rluB	-	5.4.99.19,5.4.99.22	ko:K06178,ko:K06183	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2,S4
WP_020862670.1	880447.MSB_A0606	1.59e-154	435.0	COG0217@1|root,COG0217@2|Bacteria,3WT6S@544448|Tenericutes	544448|Tenericutes	K	transcriptional regulatory protein	-	-	-	-	-	-	-	-	-	-	-	-	Transcrip_reg
WP_020862671.1	272632.MSC_0389	1.1e-173	487.0	2C2GN@1|root,33XK1@2|Bacteria,3WT5H@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862675.1	880447.MSB_A0599	8.1e-89	262.0	COG1762@1|root,COG1762@2|Bacteria,3WTH8@544448|Tenericutes	544448|Tenericutes	G	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	-	-	2.7.1.194	ko:K02821	ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060	M00283,M00550	R07671	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.7.1	-	-	PTS_EIIA_2
WP_020862676.1	1179777.D500_0593	0.0	997.0	COG3037@1|root,COG3414@1|root,COG3037@2|Bacteria,COG3414@2|Bacteria,3WT2V@544448|Tenericutes	544448|Tenericutes	G	PTS system sugar-specific permease component	ulaA	-	2.7.1.194	ko:K02822,ko:K03475	ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060	M00283,M00550	R07671	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.7.1	-	-	EIIC-GAT,PTS_IIB
WP_020862678.1	1179777.D500_0596	8.08e-286	798.0	COG1131@1|root,COG1131@2|Bacteria,3WT8G@544448|Tenericutes	544448|Tenericutes	V	ABC transporter	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_020862679.1	1179777.D500_0597	6.32e-309	856.0	COG1277@1|root,COG1277@2|Bacteria,3WT1Y@544448|Tenericutes	544448|Tenericutes	S	ABC-type transport system involved in multi-copper enzyme maturation permease component	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862681.1	1179777.D500_0600	1.48e-136	389.0	2A01H@1|root,30N3N@2|Bacteria,3WU5I@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862682.1	1179777.D500_0601	1.96e-132	375.0	COG0221@1|root,COG0221@2|Bacteria,3WTDN@544448|Tenericutes	544448|Tenericutes	C	Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions	ppa	-	3.6.1.1	ko:K01507	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	-	-	-	Pyrophosphatase
WP_020862683.1	1179777.D500_0602	1.28e-180	506.0	2EXNJ@1|root,33QYA@2|Bacteria,3WTAV@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ECF_trnsprt
WP_020862684.1	1179777.D500_0603	8.88e-91	273.0	294WJ@1|root,2ZS9J@2|Bacteria,3WTSG@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862685.1	1179777.D500_0604	4.72e-139	395.0	COG0283@1|root,COG0283@2|Bacteria,3WT15@544448|Tenericutes	544448|Tenericutes	F	Belongs to the cytidylate kinase family. Type 1 subfamily	cmk	-	2.7.4.25	ko:K00945	ko00240,ko01100,map00240,map01100	M00052	R00158,R00512,R01665	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	Cytidylate_kin
WP_020862686.1	1179777.D500_0605	4.12e-293	802.0	COG1160@1|root,COG1160@2|Bacteria,3WSVN@544448|Tenericutes	544448|Tenericutes	S	GTPase that plays an essential role in the late steps of ribosome biogenesis	engA	-	-	ko:K03977	-	-	-	-	ko00000,ko03009	-	-	-	KH_dom-like,MMR_HSR1
WP_020862687.1	1179777.D500_0606	6.3e-163	464.0	COG0240@1|root,COG0240@2|Bacteria,3WT0R@544448|Tenericutes	544448|Tenericutes	I	Glycerol-3-phosphate dehydrogenase	gpsA	-	1.1.1.94	ko:K00057	ko00564,ko01110,map00564,map01110	-	R00842,R00844	RC00029	ko00000,ko00001,ko01000	-	-	-	NAD_Gly3P_dh_C,NAD_Gly3P_dh_N
WP_020862688.1	1179777.D500_0608	3.06e-93	276.0	2FIUC@1|root,34AJT@2|Bacteria,3WTKE@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862689.1	1179777.D500_0609	8.12e-110	317.0	COG3331@1|root,COG3331@2|Bacteria,3WTWG@544448|Tenericutes	544448|Tenericutes	L	Endonuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves mobile four-strand junctions by introducing symmetrical nicks in paired strands. Promotes annealing of linear ssDNA with homologous dsDNA. Required for DNA repair, homologous recombination and chromosome segregation	recU	-	-	ko:K03700	-	-	-	-	ko00000,ko03400	-	-	-	RecU
WP_020862690.1	880447.MSB_A0574	3.48e-168	484.0	COG3291@1|root,COG3291@2|Bacteria,3WTGJ@544448|Tenericutes	544448|Tenericutes	S	Mycoplasma protein of unknown function, DUF285	-	-	-	-	-	-	-	-	-	-	-	-	DUF285
WP_020862691.1	1179777.D500_0613	4.08e-90	266.0	COG1546@1|root,COG1546@2|Bacteria,3WTQA@544448|Tenericutes	544448|Tenericutes	S	Competence-damaged protein	cinA	-	3.5.1.42	ko:K03743	ko00760,map00760	-	R02322	RC00100	ko00000,ko00001,ko01000	-	-	-	CinA
WP_020862693.1	1179777.D500_0615	0.0	878.0	COG1418@1|root,COG1418@2|Bacteria,3WT96@544448|Tenericutes	544448|Tenericutes	S	Endoribonuclease that initiates mRNA decay	rny	-	-	ko:K18682	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019	-	-	-	DUF3552,HD,KH_1
WP_020862694.1	1179777.D500_0616	1.52e-301	825.0	COG0541@1|root,COG0541@2|Bacteria,3WT21@544448|Tenericutes	544448|Tenericutes	U	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	ffh	-	3.6.5.4	ko:K03106	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko01000,ko02044	3.A.5.1,3.A.5.2,3.A.5.7,3.A.5.8,3.A.5.9	-	-	SRP54,SRP54_N,SRP_SPB
WP_020862695.1	1179777.D500_0617	1.1e-98	287.0	COG1576@1|root,COG1576@2|Bacteria,3WTKM@544448|Tenericutes	544448|Tenericutes	J	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA	rlmH	-	2.1.1.177	ko:K00783	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	SPOUT_MTase
WP_020862696.1	1179777.D500_0619	1.16e-102	298.0	COG0806@1|root,COG0806@2|Bacteria,3WTKK@544448|Tenericutes	544448|Tenericutes	J	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes	rimM	-	-	ko:K02860	-	-	-	-	ko00000,ko03009	-	-	-	RimM
WP_020862697.1	880447.MSB_A0565	3.93e-161	452.0	COG0336@1|root,COG0336@2|Bacteria,3WT2M@544448|Tenericutes	544448|Tenericutes	J	Belongs to the RNA methyltransferase TrmD family	trmD	-	2.1.1.228	ko:K00554	-	-	R00597	RC00003,RC00334	ko00000,ko01000,ko03016	-	-	-	tRNA_m1G_MT
WP_020862698.1	1179777.D500_0622	9.7e-225	619.0	COG1161@1|root,COG1161@2|Bacteria,3WSWF@544448|Tenericutes	544448|Tenericutes	S	Required for a late step of 50S ribosomal subunit assembly. Has GTPase activity	rbgA	-	-	ko:K14540	-	-	-	-	ko00000,ko03009	-	-	-	MMR_HSR1
WP_020862699.1	1179777.D500_0623	2.49e-134	382.0	COG0164@1|root,COG0164@2|Bacteria,3WTNN@544448|Tenericutes	544448|Tenericutes	L	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids	rnhB	-	3.1.26.4	ko:K03470	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	RNase_HII
WP_020862700.1	1196322.A370_03967	4.61e-59	206.0	COG0446@1|root,COG0607@1|root,COG0446@2|Bacteria,COG0607@2|Bacteria,1TPWW@1239|Firmicutes,2484C@186801|Clostridia,36DJA@31979|Clostridiaceae	186801|Clostridia	P	Belongs to the sulfur carrier protein TusA family	-	-	-	-	-	-	-	-	-	-	-	-	DrsE_2,Pyr_redox_2,Pyr_redox_dim,Rhodanese,TusA
WP_020862701.1	1179777.D500_0624	5.2e-203	572.0	COG2391@1|root,COG2391@2|Bacteria	2|Bacteria	-	-	-	-	-	ko:K07112	-	-	-	-	ko00000	-	-	-	Sulf_transp
WP_020862702.1	1179777.D500_0626	0.0	939.0	COG1132@1|root,COG1132@2|Bacteria,3WSYI@544448|Tenericutes	544448|Tenericutes	V	COG1132 ABC-type multidrug transport system, ATPase and permease components	-	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
WP_020862703.1	1179777.D500_0627	0.0	1122.0	COG1132@1|root,COG1132@2|Bacteria,3WSY4@544448|Tenericutes	544448|Tenericutes	V	ABC transporter transmembrane region	-	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
WP_020862704.1	1179777.D500_0628	0.0	976.0	2F0M6@1|root,33TPU@2|Bacteria,3WT7R@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862705.1	1179777.D500_0630	3.17e-125	362.0	2BMME@1|root,32G6I@2|Bacteria,3WTKD@544448|Tenericutes	544448|Tenericutes	S	Protein of unknown function (DUF3196)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3196
WP_020862707.1	880447.MSB_A0550	3.76e-304	830.0	COG0536@1|root,COG0536@2|Bacteria,3WSWY@544448|Tenericutes	544448|Tenericutes	S	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control	obg	-	-	ko:K03979	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	DUF1967,GTP1_OBG,MMR_HSR1
WP_020862708.1	880447.MSB_A0549	6.55e-167	467.0	COG0171@1|root,COG0171@2|Bacteria,3WT62@544448|Tenericutes	544448|Tenericutes	H	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses ammonia as a nitrogen source	nadE	-	6.3.1.5	ko:K01916	ko00760,ko01100,map00760,map01100	M00115	R00189	RC00100	ko00000,ko00001,ko00002,ko01000	-	-	-	NAD_synthase
WP_020862709.1	1179777.D500_0634	3.12e-27	102.0	2B6M9@1|root,31ZJQ@2|Bacteria,3WV0F@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862710.1	1179777.D500_0635	2.54e-251	691.0	COG1057@1|root,COG1713@1|root,COG1057@2|Bacteria,COG1713@2|Bacteria,3WT5V@544448|Tenericutes	544448|Tenericutes	H	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	nadD	-	2.7.7.18	ko:K00969	ko00760,ko01100,map00760,map01100	M00115	R00137,R03005	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_like,HD
WP_020862711.1	1179777.D500_0636	7.98e-128	366.0	COG0775@1|root,COG0775@2|Bacteria,3WTZS@544448|Tenericutes	544448|Tenericutes	E	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively	mtn	-	3.2.2.9	ko:K01243	ko00270,ko01100,ko01230,map00270,map01100,map01230	M00034,M00609	R00194,R01401	RC00063,RC00318	ko00000,ko00001,ko00002,ko01000	-	-	-	PNP_UDP_1
WP_020862712.1	1179777.D500_0637	4.67e-146	412.0	COG1428@1|root,COG1428@2|Bacteria,3WTEN@544448|Tenericutes	544448|Tenericutes	F	AAA domain	-	-	-	-	-	-	-	-	-	-	-	-	dNK
WP_020862716.1	1179777.D500_0642	6.15e-260	713.0	COG0482@1|root,COG0482@2|Bacteria,3WSW0@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	trmU	-	2.8.1.13	ko:K00566	ko04122,map04122	-	R08700	RC02313,RC02315	ko00000,ko00001,ko01000,ko03016	-	-	-	tRNA_Me_trans
WP_020862717.1	880447.MSB_A0537	8.51e-109	317.0	2F11U@1|root,33U3C@2|Bacteria,3WSXI@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862718.1	272632.MSC_0449	0.0	1350.0	COG1075@1|root,COG1075@2|Bacteria,3WV41@544448|Tenericutes	544448|Tenericutes	S	Domain of unknown function(DUF2779)	-	-	-	-	-	-	-	-	-	-	-	-	Cas_Cas4,DUF2779
WP_020862719.1	272632.MSC_0450	9.64e-221	609.0	COG0223@1|root,COG0223@2|Bacteria,3WSZ7@544448|Tenericutes	544448|Tenericutes	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	fmt	-	2.1.2.9	ko:K00604	ko00670,ko00970,map00670,map00970	-	R03940	RC00026,RC00165	ko00000,ko00001,ko01000	-	-	-	Formyl_trans_C,Formyl_trans_N
WP_020862720.1	272632.MSC_0453	9.93e-286	783.0	COG0544@1|root,COG0544@2|Bacteria,3WTH2@544448|Tenericutes	544448|Tenericutes	D	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase	tig	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K03545	-	-	-	-	ko00000	-	-	-	FKBP_C,Trigger_C,Trigger_N
WP_020862721.1	272632.MSC_0454	0.0	1464.0	COG0466@1|root,COG0466@2|Bacteria,3WSVX@544448|Tenericutes	544448|Tenericutes	O	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner	lon	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	3.4.21.53	ko:K01338	ko04112,map04112	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	AAA,LON_substr_bdg,Lon_C
WP_020862722.1	272632.MSC_0455	3.3e-280	768.0	COG2256@1|root,COG2256@2|Bacteria,3WSWR@544448|Tenericutes	544448|Tenericutes	L	related to the helicase subunit of the Holliday junction resolvase	yrvN	-	-	ko:K07478	-	-	-	-	ko00000	-	-	-	AAA,AAA_assoc_2,MgsA_C,RuvB_N
WP_020862723.1	1188233.MAU_0590	2.28e-172	521.0	COG5279@1|root,COG5279@2|Bacteria,3WT03@544448|Tenericutes	544448|Tenericutes	D	Transglutaminase-like superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Transglut_core
WP_020862724.1	1179777.D500_0651	2.02e-265	758.0	COG2247@1|root,COG5279@1|root,COG2247@2|Bacteria,COG5279@2|Bacteria,3WT03@544448|Tenericutes	544448|Tenericutes	D	Transglutaminase-like superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Transglut_core
WP_020862725.1	272632.MSC_0456	0.0	1459.0	2FBDF@1|root,343J7@2|Bacteria,3WTB1@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_020862726.1	272632.MSC_0462	1.2e-206	572.0	COG1159@1|root,COG1159@2|Bacteria,3WT35@544448|Tenericutes	544448|Tenericutes	S	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism	era	-	-	ko:K03595	-	-	-	-	ko00000,ko03009,ko03029	-	-	-	KH_2,MMR_HSR1
WP_020862727.1	272632.MSC_0464	0.0	919.0	COG0423@1|root,COG0423@2|Bacteria,3WT0M@544448|Tenericutes	544448|Tenericutes	J	Belongs to the class-II aminoacyl-tRNA synthetase family	glyS	GO:0003674,GO:0003824,GO:0004812,GO:0004820,GO:0005488,GO:0005515,GO:0016874,GO:0016875,GO:0046983,GO:0140098,GO:0140101	6.1.1.14	ko:K01880	ko00970,map00970	M00359,M00360	R03654	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	HGTP_anticodon,tRNA-synt_2b
WP_020862728.1	272632.MSC_0465	0.0	1120.0	COG0358@1|root,COG0358@2|Bacteria,3WSZT@544448|Tenericutes	544448|Tenericutes	L	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication	dnaG	-	-	ko:K02316	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	DnaB_bind,Toprim_2,Toprim_4,Toprim_N,zf-CHC2
WP_020862729.1	272632.MSC_0466	2.39e-316	868.0	COG0568@1|root,COG0568@2|Bacteria,3WSV5@544448|Tenericutes	544448|Tenericutes	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	rpoD	-	-	ko:K03086	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4
WP_020862730.1	272632.MSC_0467	6.08e-153	430.0	COG2384@1|root,COG2384@2|Bacteria,3WTDJ@544448|Tenericutes	544448|Tenericutes	S	tRNA (adenine(22)-N(1))-methyltransferase	-	-	2.1.1.217	ko:K06967	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Methyltransf_18,TrmK
WP_020862731.1	272632.MSC_0468	9.33e-178	496.0	COG0327@1|root,COG0327@2|Bacteria,3WT46@544448|Tenericutes	544448|Tenericutes	S	cation binding	-	-	-	-	-	-	-	-	-	-	-	-	NIF3
WP_020862732.1	272632.MSC_0469	2.23e-313	855.0	COG0513@1|root,COG0513@2|Bacteria,3WT37@544448|Tenericutes	544448|Tenericutes	L	helicase superfamily c-terminal domain	deaD	-	3.6.4.13	ko:K18692	-	-	-	-	ko00000,ko01000,ko03009,ko03019	-	-	-	DEAD,Helicase_C
WP_020862733.1	1179777.D500_0665	1.66e-315	865.0	COG1284@1|root,COG1284@2|Bacteria,3WT7A@544448|Tenericutes	544448|Tenericutes	S	abc transporter permease protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF2179,YitT_membrane
WP_020862734.1	1179777.D500_0666	0.0	2083.0	COG0342@1|root,COG0342@2|Bacteria,3WSV4@544448|Tenericutes	544448|Tenericutes	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA	secD	-	-	ko:K12257	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	2.A.6.4	-	-	SecD_SecF,Sec_GG
WP_020862735.1	272632.MSC_0474	1.41e-115	331.0	COG0503@1|root,COG0503@2|Bacteria,3WTCR@544448|Tenericutes	544448|Tenericutes	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	apt	-	2.4.2.7	ko:K00759	ko00230,ko01100,map00230,map01100	-	R00190,R01229,R04378	RC00063	ko00000,ko00001,ko01000,ko04147	-	-	-	Pribosyltran
WP_020862736.1	1179777.D500_0671	2.72e-97	283.0	COG3600@1|root,COG3600@2|Bacteria,3WTDB@544448|Tenericutes	544448|Tenericutes	S	Protein of unknown function (DUF4065)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4065
WP_020862737.1	272632.MSC_0479	1.44e-159	447.0	COG0571@1|root,COG0571@2|Bacteria,3WSZN@544448|Tenericutes	544448|Tenericutes	J	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism	rnc	-	3.1.26.3	ko:K03685	ko03008,ko05205,map03008,map05205	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03019,ko03036	-	-	-	Ribonucleas_3_3,dsrm
WP_020862738.1	272632.MSC_0480	8.05e-233	641.0	COG0416@1|root,COG0416@2|Bacteria,3WT94@544448|Tenericutes	544448|Tenericutes	I	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA	plsX	-	2.3.1.15	ko:K03621	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	FA_synthesis
WP_020862739.1	272632.MSC_0481	0.0	1044.0	COG1461@1|root,COG1461@2|Bacteria,3WT00@544448|Tenericutes	544448|Tenericutes	S	kinase related to dihydroxyacetone kinase	yloV	-	-	ko:K07030	-	-	-	-	ko00000	-	-	-	Dak1_2,Dak2
WP_020862740.1	272632.MSC_0485	2.04e-212	593.0	COG0226@1|root,COG0226@2|Bacteria,3WTAX@544448|Tenericutes	544448|Tenericutes	P	PBP superfamily domain	pstS	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
WP_020862741.1	272632.MSC_0486	0.0	1222.0	COG0573@1|root,COG0581@1|root,COG0573@2|Bacteria,COG0581@2|Bacteria,3WT5D@544448|Tenericutes	544448|Tenericutes	P	phosphate transport system permease	pstA	-	-	ko:K02037,ko:K02038	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
